,sex,embarked,class,who,deck,embark_town,alive,adult_male,alone,survived,pclass,age,sibsp,parch,fare_scaling
0,1,2,2,1,2,2,0,1,0,0,3,22.0,1,0,-0.5024451714361923
1,0,0,0,2,2,0,1,0,0,1,1,38.0,1,0,0.7868452935884461
2,0,2,2,2,2,2,1,0,1,1,3,26.0,0,0,-0.4888542575852486
3,0,2,0,2,2,2,1,0,0,1,1,35.0,1,0,0.4207302360686478
4,1,2,2,1,2,2,0,1,1,0,3,35.0,0,0,-0.4863374216869257
5,1,1,2,1,2,1,0,1,1,0,3,29.69911764705882,0,0,-0.47811642890864375
6,1,2,0,1,4,2,0,1,1,0,1,54.0,0,0,0.395813560675251
7,1,2,2,0,2,2,0,0,0,0,3,2.0,3,1,-0.22408312108167944
8,0,2,2,2,2,2,1,0,0,1,3,27.0,0,2,-0.4242561406845337
9,0,0,1,0,2,0,1,0,0,1,2,14.0,1,0,-0.04295550208861426
10,0,2,2,0,6,2,1,0,0,1,3,4.0,1,1,-0.312172377522981
11,0,2,0,2,2,2,1,0,1,1,1,58.0,0,0,-0.11384570873513637
12,1,2,2,1,2,2,0,1,1,0,3,20.0,0,0,-0.4863374216869257
13,1,2,2,1,2,2,0,1,0,0,3,39.0,1,5,-0.01870931177853076
14,0,2,2,0,2,2,0,0,1,0,3,14.0,0,0,-0.4902797934380587
15,0,2,1,2,2,2,1,0,1,1,2,55.0,0,0,-0.3262666585535892
16,1,1,2,0,2,1,0,0,0,0,3,2.0,4,1,-0.06199888922968463
17,1,2,1,1,2,2,1,1,1,1,2,29.69911764705882,0,0,-0.3866707201133388
18,0,2,2,2,2,2,0,0,0,0,3,31.0,1,0,-0.2859972841804228
19,0,0,2,2,2,0,1,0,1,1,3,29.69911764705882,0,0,-0.5029485386158568
20,1,2,1,1,2,2,0,1,1,0,2,35.0,0,0,-0.12491978668775715
21,1,2,1,1,3,2,1,1,1,1,2,34.0,0,0,-0.3866707201133388
22,0,1,2,0,2,1,1,0,1,1,3,15.0,0,0,-0.4867562231804066
23,1,2,0,1,0,2,1,1,1,1,1,28.0,0,0,0.06635974158478332
24,0,2,2,0,2,2,0,0,0,0,3,8.0,3,1,-0.22408312108167944
25,0,2,2,2,2,2,1,0,0,1,3,38.0,1,5,-0.016444159470040135
26,1,0,2,1,2,0,0,1,1,0,3,29.69911764705882,0,0,-0.5029485386158568
27,1,2,0,1,2,2,0,1,0,0,1,19.0,3,2,4.647001076532463
28,0,1,2,2,2,1,1,0,1,1,3,29.69911764705882,0,0,-0.48977642625839407
29,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4894421904510968
30,1,0,0,1,2,0,0,1,1,0,1,40.0,0,0,-0.09027201697708476
31,0,0,0,2,1,0,1,0,0,1,1,29.69911764705882,1,0,2.301728820789
32,0,1,2,2,2,1,1,0,1,1,3,29.69911764705882,0,0,-0.49237782784290063
33,1,2,1,1,2,2,0,1,1,0,2,66.0,0,0,-0.43700743807979686
34,1,0,0,1,2,0,0,1,0,0,1,28.0,1,0,1.0060617003323709
35,1,2,0,1,2,2,0,1,0,0,1,42.0,1,0,0.39858208016340624
36,1,0,2,1,2,0,1,1,1,1,3,29.69911764705882,0,0,-0.5028639729296732
37,1,2,2,1,2,2,0,1,1,0,3,21.0,0,0,-0.4863374216869257
38,0,2,2,2,2,2,0,0,0,0,3,18.0,2,0,-0.2859972841804228
39,0,0,2,0,2,0,1,0,0,1,3,14.0,1,0,-0.42207354059350805
40,0,2,2,2,2,2,0,0,0,0,3,40.0,1,0,-0.4576454924460446
41,0,2,1,2,2,2,0,0,0,0,2,27.0,1,0,-0.22559322262067316
42,1,0,2,1,2,0,0,1,1,0,3,29.69911764705882,0,0,-0.4894421904510968
43,0,0,1,0,2,0,1,0,0,1,2,3.0,1,2,0.18876253192945994
44,0,1,2,2,2,1,1,0,1,1,3,19.0,0,0,-0.48977642625839407
45,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4863374216869257
46,1,1,2,1,2,1,0,1,0,0,3,29.69911764705882,1,0,-0.3363340021468808
47,0,1,2,2,2,1,1,0,1,1,3,29.69911764705882,0,0,-0.49237782784290063
48,1,0,2,1,2,0,0,1,0,0,3,29.69911764705882,2,0,-0.21191774308354583
49,0,2,2,2,2,2,0,0,0,0,3,18.0,1,0,-0.29002422161773944
50,1,2,2,0,2,2,0,0,0,0,3,7.0,4,1,0.1506737441786005
51,1,2,2,1,2,2,0,1,1,0,3,21.0,0,0,-0.4913710934835715
52,0,0,0,2,3,0,1,0,0,1,1,49.0,1,0,0.8964967865378598
53,0,2,1,2,2,2,1,0,0,1,2,29.0,1,0,-0.12491978668775715
54,1,0,0,1,1,0,0,1,0,0,1,65.0,0,1,0.5995101505357573
55,1,2,0,1,2,2,1,1,1,1,1,29.69911764705882,0,0,0.06635974158478332
56,0,2,1,2,2,2,1,0,1,1,2,21.0,0,0,-0.43700743807979686
57,1,0,2,1,2,0,0,1,1,0,3,28.5,0,0,-0.5028639729296732
58,0,2,1,0,2,2,1,0,0,1,2,5.0,1,2,-0.08968408411123653
59,1,2,2,0,2,2,0,0,0,0,3,11.0,5,2,0.2958951755118318
60,1,0,2,1,2,0,0,1,1,0,3,22.0,0,0,-0.5028639729296732
61,0,2,0,2,1,2,1,0,1,1,1,38.0,0,0,0.962353321387736
62,1,2,0,1,2,2,0,1,0,0,1,45.0,1,0,1.0323213593611125
63,1,2,2,0,2,2,0,0,0,0,3,4.0,3,2,-0.08666388103324908
64,1,0,0,1,2,0,0,1,1,0,1,29.69911764705882,0,0,-0.09027201697708476
65,1,0,2,1,2,0,1,1,0,1,3,29.69911764705882,1,1,-0.3414522396297103
66,0,2,1,2,5,2,1,0,1,1,2,29.0,0,0,-0.43700743807979686
67,1,2,2,1,2,2,0,1,1,0,3,19.0,0,0,-0.4841568350646187
68,0,2,2,2,2,2,1,0,0,1,3,17.0,4,2,-0.4888542575852486
69,1,2,2,1,2,2,0,1,0,0,3,26.0,2,0,-0.47400492578514347
70,1,2,1,1,2,2,0,1,1,0,2,32.0,0,0,-0.43700743807979686
71,0,2,2,2,2,2,0,0,0,0,3,16.0,5,2,0.2958951755118318
72,1,2,1,1,2,2,0,1,1,0,2,21.0,0,0,0.8314778546749452
73,1,0,2,1,2,0,0,1,0,0,3,26.0,1,0,-0.3573908580066095
74,1,2,2,1,2,2,1,1,1,1,3,32.0,0,0,0.48910360681684706
75,1,2,2,1,5,2,0,1,1,0,3,25.0,0,0,-0.494391296561559
76,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4894421904510968
77,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4863374216869257
78,1,2,1,0,2,2,1,0,0,1,2,0.83,0,2,-0.06451572512800753
79,0,2,2,2,2,2,1,0,1,1,3,30.0,0,0,-0.397241430886295
80,1,2,2,1,2,2,0,1,1,0,3,22.0,0,0,-0.46720946885967163
81,1,2,2,1,2,2,1,1,1,1,3,29.0,0,0,-0.45714212526638004
82,0,1,2,2,2,1,1,0,1,1,3,29.69911764705882,0,0,-0.49162277707340374
83,1,2,0,1,2,2,0,1,1,0,1,28.0,0,0,0.29992211294914856
84,0,2,1,2,2,2,1,0,1,1,2,17.0,0,0,-0.43700743807979686
85,0,2,2,2,2,2,1,0,0,1,3,33.0,3,0,-0.32928686163157667
86,1,2,2,1,2,2,0,1,0,0,3,16.0,1,3,0.04370821849987721
87,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4863374216869257
88,0,2,0,2,2,2,1,0,0,1,1,23.0,3,2,4.647001076532463
89,1,2,2,1,2,2,0,1,1,0,3,24.0,0,0,-0.4863374216869257
90,1,2,2,1,2,2,0,1,1,0,3,29.0,0,0,-0.4863374216869257
91,1,2,2,1,2,2,0,1,1,0,3,20.0,0,0,-0.4902797934380587
92,1,2,0,1,4,2,0,1,0,0,1,46.0,1,0,0.5833178351003071
93,1,2,2,1,2,2,0,1,0,0,3,26.0,1,2,-0.23415046467497105
94,1,2,2,1,2,2,0,1,1,0,3,59.0,0,0,-0.5024451714361923
95,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4863374216869257
96,1,0,0,1,0,0,0,1,1,0,1,71.0,0,0,0.0493298231623713
97,1,0,0,1,3,0,1,1,0,1,1,23.0,0,1,0.6272778976347743
98,0,2,1,2,2,2,1,0,0,1,2,34.0,0,1,-0.18532384824750675
99,1,2,1,1,2,2,0,1,0,0,2,34.0,1,0,-0.12491978668775715
100,0,2,2,2,2,2,0,0,1,0,3,28.0,0,0,-0.4894421904510968
101,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4894421904510968
102,1,2,0,1,3,2,0,1,0,0,1,21.0,0,1,0.907737982394129
103,1,2,2,1,2,2,0,1,1,0,3,33.0,0,0,-0.4741720436887921
104,1,2,2,1,2,2,0,1,0,0,3,37.0,2,0,-0.4888542575852486
105,1,2,2,1,2,2,0,1,1,0,3,28.0,0,0,-0.4894421904510968
106,0,2,2,2,2,2,1,0,1,1,3,21.0,0,0,-0.494391296561559
107,1,2,2,1,2,2,1,1,1,1,3,29.69911764705882,0,0,-0.4918744606632361
108,1,2,2,1,2,2,0,1,1,0,3,38.0,0,0,-0.4894421904510968
109,0,1,2,2,2,1,1,0,0,1,3,29.69911764705882,1,0,-0.1621689579829361
110,1,2,0,1,2,2,0,1,1,0,1,47.0,0,0,0.39858208016340624
111,0,0,2,0,2,0,0,0,0,0,3,14.5,1,0,-0.3573908580066095
112,1,2,2,1,2,2,0,1,1,0,3,22.0,0,0,-0.4863374216869257
113,0,2,2,2,2,2,0,0,0,0,3,20.0,1,0,-0.4505983519307405
114,0,0,2,2,2,0,0,0,1,0,3,17.0,0,0,-0.3573083057891445
115,1,2,2,1,2,2,0,1,1,0,3,21.0,0,0,-0.4888542575852486
116,1,1,2,1,2,1,0,1,1,0,3,70.5,0,0,-0.49237782784290063
117,1,2,1,1,2,2,0,1,0,0,2,29.0,1,0,-0.22559322262067316
118,1,0,0,1,1,0,0,1,0,0,1,24.0,0,1,4.335332226633905
119,0,2,2,0,2,2,0,0,0,0,3,2.0,4,2,-0.01870931177853076
120,1,2,1,1,2,2,0,1,0,0,2,21.0,2,0,0.8314778546749452
121,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4863374216869257
122,1,0,1,1,2,0,0,1,0,0,2,32.5,1,0,-0.04295550208861426
123,0,2,1,2,4,2,1,0,1,1,2,32.5,0,0,-0.3866707201133388
124,1,2,0,1,3,2,0,1,0,0,1,54.0,0,1,0.907737982394129
125,1,0,2,0,2,0,1,0,0,1,3,12.0,1,0,-0.42207354059350805
126,1,1,2,1,2,1,0,1,1,0,3,29.69911764705882,0,0,-0.49237782784290063
127,1,2,2,1,2,2,1,1,1,1,3,24.0,0,0,-0.5046257580584992
128,0,0,2,2,5,0,1,0,0,1,3,29.69911764705882,1,1,-0.19824427701513722
129,1,2,2,1,2,2,0,1,1,0,3,45.0,0,0,-0.5079822104125026
130,1,0,2,1,2,0,0,1,1,0,3,33.0,0,0,-0.4894421904510968
131,1,2,2,1,2,2,0,1,1,0,3,20.0,0,0,-0.5064721088735089
132,0,2,2,2,2,2,0,0,0,0,3,47.0,1,0,-0.35646868933346404
133,0,2,1,2,2,2,1,0,0,1,2,29.0,1,0,-0.12491978668775715
134,1,2,1,1,2,2,0,1,1,0,2,25.0,0,0,-0.3866707201133388
135,1,0,1,1,2,0,0,1,1,0,2,23.0,0,0,-0.3454791770670269
136,0,2,0,2,3,2,1,0,0,1,1,19.0,0,2,-0.11921562980779811
137,1,2,0,1,2,2,0,1,0,0,1,37.0,1,0,0.4207302360686478
138,1,2,2,1,2,2,0,1,1,0,3,16.0,0,0,-0.4628462821463391
139,1,0,0,1,1,0,0,1,1,0,1,24.0,0,0,0.9462455716384695
140,0,0,2,2,2,0,0,0,0,0,3,29.69911764705882,0,2,-0.3414522396297103
141,0,2,2,2,2,2,1,0,1,1,3,22.0,0,0,-0.49237782784290063
142,0,2,2,2,2,2,1,0,0,1,3,24.0,1,0,-0.32928686163157667
143,1,1,2,1,2,1,0,1,1,0,3,19.0,0,0,-0.5125125150294839
144,1,2,1,1,2,2,0,1,1,0,2,18.0,0,0,-0.41687275089321363
145,1,2,1,1,2,2,0,1,0,0,2,19.0,1,1,0.09152810056801232
146,1,2,2,1,2,2,1,1,1,1,3,27.0,0,0,-0.49145565916975514
147,0,2,2,0,2,2,0,0,0,0,3,9.0,2,2,0.04370821849987721
148,1,2,1,1,5,2,0,1,0,0,2,36.5,0,2,-0.12491978668775715
149,1,2,1,1,2,2,0,1,1,0,2,42.0,0,0,-0.3866707201133388
150,1,2,1,1,2,2,0,1,1,0,2,51.0,0,0,-0.39623469652696586
151,0,2,0,2,2,2,1,0,0,1,1,22.0,1,0,0.6925485130875209
152,1,2,2,1,2,2,0,1,1,0,3,55.5,0,0,-0.4863374216869257
153,1,2,2,1,2,2,0,1,0,0,3,40.5,0,2,-0.35646868933346404
154,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.5011867534870308
155,1,0,0,1,2,0,0,1,0,0,1,51.0,0,1,0.5874293382238074
156,0,1,2,2,2,1,1,0,1,1,3,16.0,0,0,-0.49271407711891657
157,1,2,2,1,2,2,0,1,1,0,3,30.0,0,0,-0.4863374216869257
158,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.47400492578514347
159,1,2,2,1,2,2,0,1,0,0,3,29.69911764705882,8,2,0.7519458402879414
160,1,2,2,1,2,2,0,1,0,0,3,44.0,0,1,-0.32425318983493084
161,0,2,1,2,2,2,1,0,1,1,2,40.0,0,0,-0.331300330350235
162,1,2,2,1,2,2,0,1,1,0,3,26.0,0,0,-0.4918744606632361
163,1,2,2,1,2,2,0,1,1,0,3,17.0,0,0,-0.47400492578514347
164,1,2,2,0,2,2,0,0,0,0,3,1.0,4,1,0.1506737441786005
165,1,2,2,0,2,2,1,0,0,1,3,9.0,0,2,-0.2351571990343002
166,0,2,0,2,4,2,1,0,0,1,1,29.69911764705882,0,1,0.4589861417231558
167,0,2,2,2,2,2,0,0,0,0,3,45.0,1,4,-0.08666388103324908
168,1,2,0,1,2,2,0,1,1,0,1,29.69911764705882,0,0,-0.12642988822675086
169,1,2,2,1,2,2,0,1,1,0,3,28.0,0,0,0.48910360681684706
170,1,2,0,1,1,2,0,1,1,0,1,61.0,0,0,0.026090367211616904
171,1,1,2,0,2,1,0,0,0,0,3,4.0,4,1,-0.06199888922968463
172,0,2,2,0,2,2,1,0,0,1,3,1.0,1,1,-0.4242561406845337
173,1,2,2,1,2,2,0,1,1,0,3,21.0,0,0,-0.4888542575852486
174,1,0,0,1,0,0,0,1,1,0,1,56.0,0,0,-0.030371322596999754
175,1,2,2,1,2,2,0,1,0,0,3,18.0,1,1,-0.4902797934380587
176,1,2,2,1,2,2,0,1,0,0,3,29.69911764705882,3,1,-0.13565761536436197
177,0,0,0,2,2,0,0,0,1,0,1,50.0,0,0,-0.07030444769415023
178,1,2,1,1,2,2,0,1,1,0,2,30.0,0,0,-0.3866707201133388
179,1,2,2,1,2,2,0,1,1,0,3,36.0,0,0,-0.6484216535389205
180,0,2,2,2,2,2,0,0,0,0,3,29.69911764705882,8,2,0.7519458402879414
181,1,0,1,1,2,0,0,1,1,0,2,29.69911764705882,0,0,-0.34539461138084326
182,1,2,2,0,2,2,0,0,0,0,3,9.0,4,2,-0.016444159470040135
183,1,2,1,0,5,2,1,0,0,1,2,1.0,2,1,0.13683114673782454
184,0,2,2,0,2,2,1,0,0,1,3,4.0,0,2,-0.20495516825442542
185,1,2,0,1,0,2,0,1,1,0,1,29.69911764705882,0,0,0.3583127057902398
186,0,1,2,2,2,1,1,0,0,1,3,29.69911764705882,1,0,-0.3363340021468808
187,1,2,0,1,2,2,1,1,1,1,1,45.0,0,0,-0.11384570873513637
188,1,1,2,1,2,1,0,1,0,0,3,40.0,1,1,-0.3363340021468808
189,1,2,2,1,2,2,0,1,1,0,3,36.0,0,0,-0.4894421904510968
190,0,2,1,2,2,2,1,0,1,1,2,32.0,0,0,-0.3866707201133388
191,1,2,1,1,2,2,0,1,1,0,2,19.0,0,0,-0.3866707201133388
192,0,2,2,2,2,2,1,0,0,1,3,19.0,1,0,-0.4902797934380587
193,1,2,1,0,5,2,1,0,0,1,2,3.0,1,1,-0.12491978668775715
194,0,0,0,2,1,0,1,0,1,1,1,44.0,0,0,-0.09027201697708476
195,0,0,0,2,1,0,1,0,1,1,1,58.0,0,0,2.301728820789
196,1,1,2,1,2,1,0,1,1,0,3,29.69911764705882,0,0,-0.49237782784290063
197,1,2,2,1,2,2,0,1,0,0,3,42.0,0,1,-0.47920571548543794
198,0,1,2,2,2,1,1,0,1,1,3,29.69911764705882,0,0,-0.49237782784290063
199,0,2,1,2,2,2,0,0,1,0,2,24.0,0,0,-0.3866707201133388
200,1,2,2,1,2,2,0,1,1,0,3,28.0,0,0,-0.45714212526638004
201,1,2,2,1,2,2,0,1,0,0,3,29.69911764705882,8,2,0.7519458402879414
202,1,2,2,1,2,2,0,1,1,0,3,34.0,0,0,-0.5176307525123133
203,1,0,2,1,2,0,0,1,1,0,3,45.5,0,0,-0.5029485386158568
204,1,2,2,1,2,2,1,1,1,1,3,18.0,0,0,-0.4863374216869257
205,0,2,2,0,6,2,0,0,0,0,3,2.0,0,1,-0.43776248884929375
206,1,2,2,1,2,2,0,1,0,0,3,32.0,1,0,-0.32928686163157667
207,1,0,2,1,2,0,1,1,1,1,3,26.0,0,0,-0.2701412180209885
208,0,1,2,2,2,1,1,0,1,1,3,16.0,0,0,-0.49237782784290063
209,1,0,0,1,0,0,1,1,1,1,1,40.0,0,0,-0.024246350754841113
210,1,2,2,1,2,2,0,1,1,0,3,24.0,0,0,-0.5064721088735089
211,0,2,1,2,2,2,1,0,1,1,2,35.0,0,0,-0.22559322262067316
212,1,2,2,1,2,2,0,1,1,0,3,22.0,0,0,-0.5024451714361923
213,1,2,1,1,2,2,0,1,1,0,2,30.0,0,0,-0.3866707201133388
214,1,1,2,1,2,1,0,1,0,0,3,29.69911764705882,1,0,-0.49237782784290063
215,0,0,0,2,3,0,1,0,0,1,1,31.0,1,0,1.6323350375212924
216,0,2,2,2,2,2,1,0,1,1,3,27.0,0,0,-0.4888542575852486
217,1,2,1,1,2,2,0,1,0,0,2,42.0,1,0,-0.10478509950117394
218,0,0,0,2,3,0,1,0,1,1,1,32.0,0,0,0.8876878608937296
219,1,2,1,1,2,2,0,1,1,0,2,30.0,0,0,-0.43700743807979686
220,1,2,2,1,2,2,1,1,1,1,3,16.0,0,0,-0.4863374216869257
221,1,2,1,1,2,2,0,1,1,0,2,27.0,0,0,-0.3866707201133388
222,1,2,2,1,2,2,0,1,1,0,3,51.0,0,0,-0.4863374216869257
223,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.4894421904510968
224,1,2,0,1,2,2,1,1,0,1,1,38.0,1,0,1.163700193253568
225,1,2,2,1,2,2,0,1,1,0,3,22.0,0,0,-0.4601623283443675
226,1,2,1,1,2,2,1,1,1,1,2,19.0,0,0,-0.43700743807979686
227,1,2,2,1,2,2,0,1,1,0,3,20.5,0,0,-0.5024451714361923
228,1,2,1,1,2,2,0,1,1,0,2,18.0,0,0,-0.3866707201133388
229,0,2,2,2,2,2,0,0,0,0,3,29.69911764705882,3,1,-0.13565761536436197
230,0,2,0,2,2,2,1,0,0,1,1,35.0,1,0,1.0323213593611125
231,1,2,2,1,2,2,0,1,1,0,3,29.0,0,0,-0.4918744606632361
232,1,2,1,1,2,2,0,1,1,0,2,59.0,0,0,-0.3766033765200472
233,0,2,2,0,2,2,1,0,0,1,3,5.0,4,2,-0.016444159470040135
234,1,2,1,1,2,2,0,1,1,0,2,24.0,0,0,-0.43700743807979686
235,0,2,2,2,2,2,0,0,1,0,3,29.69911764705882,0,0,-0.49640476528021726
236,1,2,1,1,2,2,0,1,0,0,2,44.0,1,0,-0.12491978668775715
237,0,2,1,0,2,2,1,0,0,1,2,8.0,0,2,-0.11988611489111134
238,1,2,1,1,2,2,0,1,1,0,2,19.0,0,0,-0.43700743807979686
239,1,2,1,1,2,2,0,1,1,0,2,33.0,0,0,-0.4012683683236117
240,0,0,2,2,2,0,0,0,0,0,3,29.69911764705882,1,0,-0.3573908580066095
241,0,1,2,2,2,1,1,0,0,1,3,29.69911764705882,1,0,-0.3363340021468808
242,1,2,1,1,2,2,0,1,1,0,2,29.0,0,0,-0.43700743807979686
243,1,2,2,1,2,2,0,1,1,0,3,22.0,0,0,-0.5049620073345151
244,1,0,2,1,2,0,0,1,1,0,3,30.0,0,0,-0.5029485386158568
245,1,1,0,1,2,1,0,1,0,0,1,44.0,2,0,1.163700193253568
246,0,2,2,2,2,2,0,0,1,0,3,25.0,0,0,-0.4918744606632361
247,0,2,1,2,2,2,1,0,0,1,2,24.0,0,2,-0.35646868933346404
248,1,2,0,1,3,2,1,1,0,1,1,37.0,1,1,0.40974072380221066
249,1,2,1,1,2,2,0,1,0,0,2,54.0,1,0,-0.12491978668775715
250,1,2,2,1,2,2,0,1,1,0,3,29.69911764705882,0,0,-0.5024451714361923
251,0,2,2,2,6,2,0,0,0,0,3,29.0,1,1,-0.43776248884929375
252,1,2,0,1,2,2,0,1,1,0,1,62.0,0,0,-0.11384570873513637
253,1,2,2,1,2,2,0,1,0,0,3,30.0,1,0,-0.32425318983493084
254,0,2,2,2,2,2,0,0,0,0,3,41.0,0,2,-0.2414492887801075
255,0,0,2,2,2,0,1,0,0,1,3,29.0,0,2,-0.3414522396297103
256,0,0,0,2,2,0,1,0,1,1,1,29.69911764705882,0,0,0.9462455716384695
257,0,2,0,2,1,2,1,0,1,1,1,30.0,0,0,1.093228788100527
258,0,0,0,2,2,0,1,0,1,1,1,35.0,0,0,9.667166525013505
259,0,2,1,2,2,2,1,0,0,1,2,50.0,0,1,-0.12491978668775715
260,1,1,2,1,2,1,0,1,1,0,3,29.69911764705882,0,0,-0.49237782784290063
261,1,2,2,0,2,2,1,0,0,1,3,3.0,4,2,-0.016444159470040135
262,1,2,0,1,4,2,0,1,0,0,1,52.0,1,1,0.955306180872432
263,1,2,0,1,1,2,0,1,1,0,1,40.0,0,0,-0.6484216535389205
264,0,1,2,2,2,1,0,0,1,0,3,29.69911764705882,0,0,-0.49237782784290063
265,1,2,1,1,2,2,0,1,1,0,2,36.0,0,0,-0.43700743807979686
266,1,2,2,1,2,2,0,1,0,0,3,16.0,4,1,0.1506737441786005
267,1,2,2,1,2,2,1,1,0,1,3,25.0,1,0,-0.4918744606632361
268,0,2,0,2,2,2,1,0,0,1,1,58.0,0,1,2.441497778832105
269,0,2,0,2,2,2,1,0,1,1,1,35.0,0,0,2.0825124140450755
270,1,2,0,1,2,2,0,1,1,0,1,29.69911764705882,0,0,-0.024246350754841113
271,1,2,2,1,2,2,1,1,1,1,3,25.0,0,0,-0.6484216535389205
272,0,2,1,2,2,2,1,0,0,1,2,41.0,0,1,-0.255795253400548
273,1,0,0,1,2,0,0,1,0,0,1,37.0,0,1,-0.05042144409739929
274,0,1,2,2,2,1,1,0,1,1,3,29.69911764705882,0,0,-0.49237782784290063
275,0,2,0,2,3,2,1,0,0,1,1,63.0,1,0,0.921244330558889
276,0,2,2,2,2,2,0,0,1,0,3,45.0,0,0,-0.49237782784290063
277,1,2,1,1,2,2,0,1,1,0,2,29.69911764705882,0,0,-0.6484216535389205
278,1,1,2,0,2,1,0,0,0,0,3,7.0,4,1,-0.06199888922968463
279,0,2,2,2,2,2,1,0,0,1,3,35.0,1,1,-0.24069423801061057
280,1,1,2,1,2,1,0,1,1,0,3,65.0,0,0,-0.49237782784290063
281,1,2,2,1,2,2,0,1,1,0,3,28.0,0,0,-0.4902797934380587
282,1,2,2,1,2,2,0,1,1,0,3,16.0,0,0,-0.45714212526638004
283,1,2,2,1,2,2,1,1,1,1,3,19.0,0,0,-0.4863374216869257
284,1,2,0,1,0,2,0,1,1,0,1,29.69911764705882,0,0,-0.12491978668775715
285,1,0,2,1,2,0,0,1,1,0,3,33.0,0,0,-0.47400492578514347
286,1,2,2,1,2,2,1,1,1,1,3,30.0,0,0,-0.45714212526638004
287,1,2,2,1,2,2,0,1,1,0,3,22.0,0,0,-0.4894421904510968
288,1,2,1,1,2,2,1,1,1,1,2,42.0,0,0,-0.3866707201133388
289,0,1,2,2,2,1,1,0,1,1,3,22.0,0,0,-0.49237782784290063
290,0,2,0,2,2,2,1,0,1,1,1,26.0,0,0,0.9391984311231651
291,0,0,0,2,1,0,1,0,0,1,1,19.0,1,0,1.1854295476653287
292,1,0,1,1,3,0,0,1,1,0,2,36.0,0,0,-0.3891875560116617
293,0,2,2,2,2,2,0,0,1,0,3,24.0,0,0,-0.4702296719376591
294,1,2,2,1,2,2,0,1,1,0,3,24.0,0,0,-0.4894421904510968
295,1,0,0,1,2,0,0,1,1,0,1,29.69911764705882,0,0,-0.09027201697708476
296,1,0,2,1,2,0,0,1,1,0,3,23.5,0,0,-0.5028639729296732
